x,y,label
-107.767693,-4.119276,3.000000
-5.906215,-45.958855,1.000000
-50.215721,17.245314,3.000000
-46.821136,-102.765312,1.000000
-12.494075,-131.625687,1.000000
-20.846684,-129.588013,1.000000
-21.260330,-144.325623,1.000000
-16.479273,-138.812866,1.000000
-8.912412,-57.061844,1.000000
33.408043,-95.610535,1.000000
34.739601,-95.634872,1.000000
33.678532,-95.546974,1.000000
33.900253,-95.520988,1.000000
-46.891312,-102.616127,1.000000
-16.637392,-138.775452,1.000000
-46.821136,-102.765312,1.000000
-12.493990,-131.627121,1.000000
-20.846951,-129.593506,1.000000
-21.260414,-144.324966,1.000000
-16.479273,-138.812866,1.000000
-149.973083,-8.352968,3.000000
-102.342422,-7.624307,3.000000
-49.499763,16.346577,3.000000
9.069475,55.737686,0.000000
-40.727783,-112.925583,1.000000
-0.075199,-128.405884,1.000000
-10.748219,-121.731888,1.000000
-7.469299,-150.785919,1.000000
-3.460706,-139.125809,1.000000
-164.244324,-20.515993,3.000000
-50.291080,12.066753,3.000000
-8.921008,-57.175362,1.000000
33.405800,-95.833496,1.000000
34.775154,-95.721588,1.000000
33.699898,-95.818573,1.000000
33.920750,-95.788803,1.000000
-3.035773,71.158165,2.000000
-3.035773,71.158165,2.000000
-3.035773,71.158165,2.000000
-3.035773,71.158165,2.000000
-48.914185,-103.540794,1.000000
-3.035773,71.158165,2.000000
-3.035773,71.158165,2.000000
-8.774337,-55.749969,1.000000
-47.135483,-102.113823,1.000000
-47.810444,-100.263153,1.000000
-14.568703,-133.227188,1.000000
-21.210611,-132.058487,1.000000
-19.834511,-138.956818,1.000000
-19.788017,-138.898376,1.000000
-97.539688,0.409322,3.000000
-49.183407,-75.367729,1.000000
-107.875160,-3.969679,3.000000
-129.616608,-26.229712,3.000000
-52.481941,-107.706146,1.000000
-47.596233,-101.107460,1.000000
-13.755174,-132.474533,1.000000
-21.211771,-131.110916,1.000000
-21.435709,-142.713669,1.000000
-18.239649,-138.577850,1.000000
-47.596233,-101.107460,1.000000
-13.755174,-132.474533,1.000000
-21.211771,-131.110916,1.000000
-21.435797,-142.711838,1.000000
-18.239649,-138.577850,1.000000
-46.035557,-104.351044,1.000000
-11.065495,-130.856522,1.000000
-20.042379,-128.173935,1.000000
-20.579601,-145.915604,1.000000
-14.783023,-139.402420,1.000000
-45.659428,-105.224228,1.000000
-45.252575,-106.884201,1.000000
-8.517839,-129.731247,1.000000
-18.242693,-125.948921,1.000000
-18.675596,-148.385727,1.000000
-12.057155,-140.363724,1.000000
-7.823303,-50.738083,1.000000
-42.105915,-112.763527,1.000000
-47.963936,-100.245796,1.000000
-21.202751,-132.173264,1.000000
-19.866650,-138.736450,1.000000
5.763918,-43.185600,1.000000
-2.785967,-93.106255,1.000000
-2.581155,-92.412575,1.000000
