t-SNE 1,t-SNE 2,index,Labels
-42.600628,97.863434,74,2
-55.784122,96.60865,75,2
-55.780937,96.60513,76,2
-55.18244,96.51931,77,2
-63.396965,91.18786,78,2
47.56523,-31.85515,79,4
-47.330902,84.40129,80,2
50.259113,-34.98635,81,4
-79.32696,116.708244,82,2
12.333866,-83.385445,83,1
-79.32696,116.708244,84,2
-42.600723,97.86232,85,2
-42.741566,97.35667,86,2
-54.07835,95.38256,87,2
-54.07835,95.38256,88,2
-54.080223,95.37816,89,2
-79.32696,116.708244,90,2
-79.32696,116.708244,91,2
-79.32696,116.708244,92,2
-79.32696,116.708244,93,2
-79.32696,116.708244,94,2
-79.32696,116.708244,95,2
-79.32629,116.70691,96,2
-79.32696,116.708244,97,2
-79.32629,116.70691,98,2
-79.32629,116.70691,99,2
-79.32696,116.708244,100,2
-79.32629,116.70691,101,2
-47.321873,84.55089,102,2
47.571568,-31.868584,103,4
43.237984,-29.38086,104,4
-79.19176,114.18362,105,2
-79.09704,111.764656,106,2
-79.09704,111.764656,107,2
-79.10092,111.296036,108,2
-85.16251,107.69402,109,2
-54.719757,96.03307,110,2
-54.719757,96.03307,111,2
-55.406956,96.485695,112,2
-55.406956,96.485695,113,2
-55.406956,96.485695,114,2
-54.719757,96.03307,115,2
-54.719757,96.03307,116,2
-54.080357,95.376465,117,2
-79.308716,108.57707,118,2
-45.39086,92.56145,119,2
-45.390762,92.562935,120,2
-45.390682,92.55815,121,2
-45.389908,92.563286,122,2
-45.677784,92.31125,123,2
-45.390762,92.562935,124,2
-45.677784,92.31125,125,2
-53.641438,94.780655,126,2
-53.641438,94.780655,127,2
-53.641438,94.780655,128,2
-56.786724,96.84764,129,2
-79.11798,110.85019,130,2
-43.574688,95.81804,131,2
-43.574688,95.81804,132,2
-43.574642,95.80898,133,2
-43.574688,95.81804,134,2
-43.849308,95.146645,135,2
-79.32696,116.708244,136,2
-50.905205,151.4218,137,2
-74.7992,131.31358,138,2
-79.32629,116.70691,139,2
-79.32696,116.708244,140,2
-79.32696,116.708244,141,2
-79.32696,116.708244,142,2
-53.64159,94.77934,143,2
-54.080223,95.37816,144,2
-54.080223,95.37816,145,2
-54.080357,95.376465,146,2
31.02204,80.72533,147,0
29.22847,78.9753,148,0
31.255346,68.281654,149,0
29.148468,79.36102,150,0
30.902943,80.72427,151,0
29.121008,79.43481,152,0
30.424164,80.75714,153,0
30.428991,81.07063,154,0
-52.248928,18.074163,156,3
-52.248928,18.074163,157,3
-52.02727,-105.56936,158,1
-10.626486,-69.93479,159,1
-109.0355,-21.536959,160,3
-46.963554,-102.46788,161,1
-16.786943,-138.74408,162,1
-164.24432,-20.515993,163,3
-108.509964,129.57114,164,2
-96.27388,84.81298,165,2
-96.27388,84.81298,166,2
-141.53435,24.83546,167,3
-50.61933,81.29986,168,2
-46.74074,-102.92801,169,1
-12.361799,-131.54951,170,1
-20.79112,-129.44969,171,1
-21.219622,-144.4692,172,1
-16.31655,-138.8565,173,1
-82.93779,137.25339,174,2
-91.91563,142.79602,175,2
-89.61669,129.1484,176,2
-89.61669,129.1484,177,2
-50.572975,81.186455,178,2
-45.323723,-106.27459,179,1
-9.09185,-129.9149,180,1
-18.677368,-126.396164,181,1
-19.176426,-148.02127,182,1
-12.661908,-140.25325,183,1
-47.904655,80.86906,184,2
-47.904373,80.86797,185,2
-108.509964,129.57114,186,2
-97.98746,0.63864195,187,3
-49.381187,-75.06298,188,1
-141.53435,24.83546,189,3
-51.27025,10.694509,190,3
-102.34714,-7.7263136,191,3
-42.903175,-112.602394,192,1
-127.13419,-11.343241,193,3
-53.616856,15.081848,194,3
-6.0180583,-85.09021,195,1
-107.76769,-4.119276,196,3
-5.906215,-45.958855,197,1
-50.21572,17.245314,198,3
-46.821136,-102.76531,199,1
-12.494075,-131.62569,200,1
-20.846684,-129.58801,201,1
-21.26033,-144.32562,202,1
-16.479273,-138.81287,203,1
-8.912412,-57.061844,204,1
33.408043,-95.610535,205,1
34.7396,-95.63487,206,1
33.67853,-95.546974,207,1
33.900253,-95.52099,208,1
